Group,Name,Revenue
APNOCs,Sinopec (CN),482.68
APNOCs,ONGC (IN),14.11
APNOCs,OIL (IN),1.98
APNOCs,Gazprom (RU),111.05
APNOCs,Petronas (MY),80.88
NAPNOCs,Aramco (SA),604.37
NAPNOCs,Naftogaz (UA),4.60
NAPNOCs,Equinor (NO),150.81
NAPNOCs,Ecopetrol (CO),16.82
APIOCs,Eneos Holding (JP),103.30
APIOCs,SK Innovation (KR),58.39
APIOCs,Idemitsu (JP),45.99
APIOCs,Reliance Industries Ltd (IN),117.05
NAPIOCs,ExxonMobil (USA),413.68
NAPIOCs,Chevron (USA),246.3
NAPIOCs,BP (UK),241.39
NAPIOCs,Shell (UK),381.3
NAPIOCs,TotalEnergies (FR),281