Group,Name,Revenue,Average Daily Production,Net Profit,Operating Revenue,Total Assets,Net Profit Margin,Return on Assets,Total Liabilities,Shareholder' s Equity,Total Equity,Debt to Equity Ratio,EBITDA,Interest Expenses,EBITDA to Interest Expenses Ratio
APNOCs,Sinopec (CN),"482.68",,"9.11","455.70","267.61","1.89","3.40","138.91","107.77","128.70","1.08","16.66","13.7","12.16"
APNOCs,ONGC (IN),"14.11","0.87","4.86","13.32","40.71","36.53","11.95","12.08","28.62","28.62","0.42","10.54","0.28","37.00"
APNOCs,OIL (IN),"1.98","0.60","7.89","1.99","6.01","397.87","131.23","2.40","3.61","3.61","0.67","0.88","0.09","9.28"
APNOCs,Gazprom (RU),"111.05","7.47","7.60","81.12","244.33","9.37","3.11","74.22","170.11","170.11","0.44","0.04","0.00","28.46"
APNOCs,Petronas (MY),"80.88","2.43","21.90","36.57","153.14","27.07","14.30","27.26","86.55","86.55","0.31","36.79","0.78","47.08"
NAPNOCs,Aramco (SA),"604.37","13.60","161.07","588.88","664.78","26.65","24.23","220.47","411.59","411.59","0.54","2.15","2.37","0.91"
NAPNOCs,Naftogaz (UA),"4.60",,"-0.98","4.60","14.06","-21.27","-6.96","4.08","9.98","9.98","0.41","0.50","0.17","3.04"
NAPNOCs,Equinor (NO),"150.81","2.04","78.81","149.00","158.02","52.26","49.87","104.03","53.99","53.99","1.93","85.16","1.38","61.75"
NAPNOCs,Ecopetrol (CO),"16.82","0.70","2.59","10.74","70.00","15.40","3.70","43.34","20.24","26.66","2.14","4.18","0.51","8.15"
APIOCs,Eneos Holding (JP),"103.30","1.87","1.94","103.30","68.48","1.87","2.83","45.86","19.67","22.62","2.33","8.35","0.29","28.40"
APIOCs,SK Innovation (KR),"58.39",,"5.26","58.39","50.28","9.00","10.46","32.89","14.70","17.39","2.24","42.59","3.72","11.44"
APIOCs,Idemitsu (JP),"45.99","2.99","3.64","45.99","3.16","7.91","114.95","2.18","0.97","0.99","2.24","0.36","0.08","4.71"
APIOCs,Reliance Industries Ltd (IN),"117.05","1.49","6.59","65.05","106.93","5.63","6.16","49.40","57.52","57.52","0.86","18.70","1.52","12.34"
NAPIOCs,ExxonMobil (USA),"413.68","2.56","55.74","77.75","369.07","13.47","15.10","166.59","195.05","195.05","0.85","92.74","0.88","105.39"
NAPIOCs,Chevron (USA),"246.30","1.82","35.47","49.67","257.70","14.40","13.76","97.47","160.24","160.24","0.61","66.51","0.52","128.89"
NAPIOCs,BP (UK),"241.39","1.18","1.36","18.04","288.12","0.56","0.47","205.13","82.99","82.99","2.47","60.70","1.54","39.47"
NAPIOCs,Shell (UK),"381.30","1.90","42.90","68.00","443.02","11.25","9.68","250.43","192.60","192.60","1.30","86.53","3.18","27.20"
NAPIOCs,TotalEnergies (FR),"281.00","1.62","21.04","42.50","303.86","7.49","6.93","189.29","114.57","114.57","1.65","71.58","0.72","98.86"